N,L1_error,L2_error,L_inf_error
10,0.009003795304474,0.012480748764675,0.036464343156652
20,0.002216567186160,0.003072926541132,0.009072163040791
50,0.000337393626957,0.000466340409059,0.001407227943925
100,0.000080424526377,0.000111032638611,0.000338871463690
200,0.000018031360237,0.000024516912945,0.000075741702002
500,0.000004297785296,0.000004834950723,0.000010263896463
1000,0.000005488843344,0.000005909990578,0.000007601338556
2000,0.000005812798480,0.000006435686483,0.000010186040669
5000,0.000005896302505,0.000006586859036,0.000010896414782
10000,0.000005931673520,0.000006634277094,0.000011037840888
